Scheme Code,Net Asset Value
 ,
Open Ended Schemes(Debt Scheme - Banking and PSU Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
150407,10.3595
150456,10.3595
150406,10.3228
150405,10.3228
150457,10.3228
 ,
UTI Mutual Fund,
 ,
120792,54.2876
102512,39.221
102514,39.2428
102510,52.7494
102511,21.5873
120791,26.2157
102509,32.7204
 ,
Open Ended Schemes(Debt Scheme - Gilt Fund with 10 year constant duration),
 ,
Bandhan Mutual Fund,
 ,
108646,11.4355
108753,37.4973
111343,10.2222
108644,10.5448
131391,13.4230
118387,37.9412
118390,10.5856
131390,11.3023
118388,11.7240
118389,17.9813
 ,
DSP Mutual Fund,
 ,
131301,18.3663
131304,10.7395
131303,10.5713
131302,10.9033
131297,18.0105
131298,10.5978
131299,10.6988
131300,10.9476
 ,
ICICI Prudential Mutual Fund,
 ,
131059,10.4889
131056,10.6928
131061,20.6466
131055,10.6790
131053,11.3870
131054,11.0882
131051,20.2680
131058,10.3816
131062,11.1867
131057,10.8483
 ,
SBI Mutual Fund,
 ,
120137,54.3251
120136,17.6710
101002,52.6345
101003,17.1185
 ,
UTI Mutual Fund,
 ,
150423,10.3007
150424,10.4762
150410,10.4762
150412,10.4762
150419,10.2673
150420,10.4423
150409,10.4426
150416,10.4425
150411,10.4427
 ,
Open Ended Schemes(Debt Scheme - Liquid Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
100047,359.2633
119568,362.5388
100046,100.195
119569,100.195
119571,196.8299
119570,100.2661
100041,108.023
100048,108.1115
103885,150.3254
100044,163.694
100051,100.2654
112014,241.5027
100043,598.2872
100042,583.0084
 ,
Axis Mutual Fund,
 ,
128954,2215.5705
120388,1000.9560
120389,2497.5362
120391,1006.1343
120390,1003.3740
112211,1001.3998
112210,2480.8511
112213,1006.6755
112212,1003.3617
112712,1000.9559
112713,2297.5257
112714,1005.7467
112715,1001.8698
 ,
Bandhan Mutual Fund,
 ,
108694,0
108692,1001.0846
108690,2696.8754
108693,1005.6383
115489,1164.3547
108691,1001.4724
139582,1.4461
139583,1.0000
139584,1.4461
139585,1.0000
118365,1012.4872
118367,1007.3541
118366,1001.6663
118364,2714.9631
118363,1093.8147
 ,
Bank of India Mutual Fund,
 ,
141887,1000.0000
141889,1226.9964
141888,1000.0000
141890,1226.8682
119368,1002.6483
119369,2587.8710
119370,1063.0110
111971,1002.1069
109254,2564.4192
109255,1002.6867
 ,
Baroda BNP Paribas Mutual Fund,
 ,
119414,1002.0849
119415,2592.0457
119416,1219.7059
139344,1422.9738
116803,0.0000
111707,1001.1996
111704,2567.0183
111705,1001.0818
142248,1000
142246,1391.4327
142245,1000
142247,1387.3652
101408,3778.2562
101407,3117.4685
101409,1006.0602
 ,
Canara Robeco Mutual Fund,
 ,
118307,1005.5000
118305,2693.3288
118304,1927.7004
118306,1006.2289
118308,1000.8541
109349,1005.5000
109353,2682.7569
109351,1006.1673
109350,1000.8465
139235,1467.3163
 ,
DSP Mutual Fund,
 ,
119125,3213.0903
119124,1000.9329
119123,1001.4479
